event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,lifetime,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,1029,0,True,True,"{5: (4, {'cpu': 11, 'gpu': 6, 'storage': 14}), 6: (8, {'cpu': 19, 'gpu': 7, 'storage': 12}), 4: (25, {'cpu': 9, 'gpu': 14, 'storage': 4}), 0: (9, {'cpu': 0, 'gpu': 11, 'storage': 13}), 3: (29, {'cpu': 6, 'gpu': 6, 'storage': 0}), 2: (3, {'cpu': 20, 'gpu': 4, 'storage': 5}), 1: (16, {'cpu': 5, 'gpu': 15, 'storage': 1})}","{(6, 5): ([(4, 8)], {'bandwidth': 47}), (4, 5): ([(4, 6), (6, 7), (7, 25)], {'bandwidth': 43}), (0, 4): ([(9, 25)], {'bandwidth': 36}), (0, 6): ([(8, 9)], {'bandwidth': 31}), (0, 5): ([(4, 8), (8, 9)], {'bandwidth': 24}), (3, 6): ([(8, 25), (25, 9), (9, 29)], {'bandwidth': 47}), (3, 4): ([(25, 7), (7, 8), (8, 9), (9, 29)], {'bandwidth': 28}), (2, 0): ([(3, 4), (4, 29), (29, 15), (15, 9)], {'bandwidth': 35}), (2, 3): ([(3, 4), (4, 29)], {'bandwidth': 17}), (1, 5): ([(4, 16)], {'bandwidth': 42}), (1, 4): ([(16, 34), (34, 24), (24, 25)], {'bandwidth': 28}), (1, 3): ([(16, 4), (4, 5), (5, 23), (23, 29)], {'bandwidth': 7}), (1, 0): ([(9, 29), (29, 4), (4, 16)], {'bandwidth': 5})}",682,1069,572,0.5350795135640786,1,0
1,leave,1711,0,True,True,"{}","{}",682,0,0,0,0,0
2,arrival,2034,1,True,True,"{0: (4, {'cpu': 12, 'gpu': 16, 'storage': 4}), 1: (0, {'cpu': 1, 'gpu': 3, 'storage': 9}), 2: (2, {'cpu': 1, 'gpu': 5, 'storage': 3})}","{(1, 0): ([(0, 4)], {'bandwidth': 44}), (2, 0): ([(2, 4)], {'bandwidth': 32}), (2, 1): ([(0, 2)], {'bandwidth': 25})}",530,155,155,1.0,1,0
3,leave,2564,1,True,True,"{}","{}",530,0,0,0,0,0
4,arrival,3022,2,True,True,"{2: (4, {'cpu': 4, 'gpu': 4, 'storage': 1}), 5: (8, {'cpu': 7, 'gpu': 2, 'storage': 20}), 6: (7, {'cpu': 19, 'gpu': 9, 'storage': 10}), 1: (25, {'cpu': 10, 'gpu': 1, 'storage': 1}), 4: (9, {'cpu': 16, 'gpu': 9, 'storage': 16}), 0: (29, {'cpu': 17, 'gpu': 3, 'storage': 15}), 3: (16, {'cpu': 17, 'gpu': 7, 'storage': 4})}","{(5, 2): ([(4, 8)], {'bandwidth': 39}), (6, 5): ([(7, 8)], {'bandwidth': 37}), (1, 2): ([(4, 6), (6, 7), (7, 25)], {'bandwidth': 37}), (1, 6): ([(7, 25)], {'bandwidth': 6}), (4, 2): ([(4, 8), (8, 9)], {'bandwidth': 26}), (4, 1): ([(9, 25)], {'bandwidth': 3}), (0, 4): ([(9, 29)], {'bandwidth': 17}), (3, 0): ([(16, 4), (4, 29)], {'bandwidth': 18}), (3, 5): ([(8, 4), (4, 16)], {'bandwidth': 6})}",44,505,381,0.7544554455445545,1,0
5,leave,3066,2,True,True,"{}","{}",44,0,0,0,0,0
6,arrival,4021,3,True,True,"{7: (4, {'cpu': 0, 'gpu': 9, 'storage': 14}), 6: (8, {'cpu': 17, 'gpu': 11, 'storage': 12}), 4: (7, {'cpu': 18, 'gpu': 4, 'storage': 19}), 3: (25, {'cpu': 12, 'gpu': 6, 'storage': 19}), 2: (9, {'cpu': 3, 'gpu': 6, 'storage': 11}), 9: (34, {'cpu': 2, 'gpu': 18, 'storage': 12}), 5: (29, {'cpu': 13, 'gpu': 16, 'storage': 18}), 8: (16, {'cpu': 10, 'gpu': 16, 'storage': 5}), 1: (17, {'cpu': 4, 'gpu': 20, 'storage': 12}), 0: (31, {'cpu': 12, 'gpu': 2, 'storage': 14})}","{(6, 7): ([(4, 8)], {'bandwidth': 11}), (4, 6): ([(7, 8)], {'bandwidth': 43}), (4, 7): ([(4, 6), (6, 7)], {'bandwidth': 27}), (3, 7): ([(4, 8), (8, 25)], {'bandwidth': 50}), (2, 6): ([(8, 9)], {'bandwidth': 26}), (2, 7): ([(4, 29), (29, 9)], {'bandwidth': 22}), (2, 3): ([(9, 25)], {'bandwidth': 10}), (9, 4): ([(7, 34)], {'bandwidth': 34}), (9, 2): ([(9, 25), (25, 24), (24, 34)], {'bandwidth': 33}), (5, 6): ([(8, 9), (9, 29)], {'bandwidth': 34}), (5, 9): ([(29, 4), (4, 0), (0, 34)], {'bandwidth': 28}), (5, 3): ([(25, 9), (9, 29)], {'bandwidth': 21}), (8, 2): ([(9, 25), (25, 24), (24, 34), (34, 16)], {'bandwidth': 27}), (8, 4): ([(7, 34), (34, 16)], {'bandwidth': 11}), (8, 5): ([(16, 4), (4, 29)], {'bandwidth': 2}), (1, 7): ([(4, 17)], {'bandwidth': 36}), (1, 2): ([(9, 8), (8, 7), (7, 6), (6, 4), (4, 17)], {'bandwidth': 12}), (1, 9): ([(17, 4), (4, 0), (0, 34)], {'bandwidth': 4}), (0, 1): ([(17, 30), (30, 0), (0, 2), (2, 31)], {'bandwidth': 21}), (0, 2): ([(9, 8), (8, 7), (7, 6), (6, 4), (4, 31)], {'bandwidth': 20}), (0, 5): ([(29, 4), (4, 31)], {'bandwidth': 3})}",97,1382,810,0.5861070911722142,1,0
7,leave,4118,3,True,True,"{}","{}",97,0,0,0,0,0
8,arrival,4976,4,True,True,"{4: (4, {'cpu': 4, 'gpu': 0, 'storage': 11}), 3: (8, {'cpu': 12, 'gpu': 6, 'storage': 6}), 2: (7, {'cpu': 16, 'gpu': 5, 'storage': 9}), 1: (25, {'cpu': 6, 'gpu': 5, 'storage': 9}), 5: (9, {'cpu': 19, 'gpu': 18, 'storage': 0}), 0: (34, {'cpu': 12, 'gpu': 18, 'storage': 14})}","{(3, 4): ([(4, 8)], {'bandwidth': 30}), (2, 3): ([(7, 8)], {'bandwidth': 47}), (1, 2): ([(7, 25)], {'bandwidth': 39}), (5, 4): ([(4, 29), (29, 9)], {'bandwidth': 50}), (0, 5): ([(9, 8), (8, 7), (7, 34)], {'bandwidth': 7})}",129,407,343,0.8427518427518428,1,0
9,leave,5105,4,True,True,"{}","{}",129,0,0,0,0,0
